file,label,severity,seed,split
crater/crater_100000.png,crater,severe,100000,test
crater/crater_100001.png,crater,moderate,100001,train
crater/crater_100002.png,crater,minor,100002,train
crater/crater_100003.png,crater,severe,100003,train
crater/crater_100004.png,crater,minor,100004,train
crater/crater_100005.png,crater,moderate,100005,train
crater/crater_100006.png,crater,severe,100006,train
crater/crater_100007.png,crater,minor,100007,train
crater/crater_100008.png,crater,severe,100008,test
crater/crater_100009.png,crater,minor,100009,test
crater/crater_100010.png,crater,moderate,100010,train
crater/crater_100011.png,crater,severe,100011,test
crater/crater_100012.png,crater,minor,100012,val
crater/crater_100013.png,crater,moderate,100013,test
crater/crater_100014.png,crater,minor,100014,train
crater/crater_100015.png,crater,moderate,100015,train
crater/crater_100016.png,crater,severe,100016,val
crater/crater_100017.png,crater,moderate,100017,train
crater/crater_100018.png,crater,minor,100018,train
crater/crater_100019.png,crater,moderate,100019,train
crater/crater_100020.png,crater,minor,100020,train
crater/crater_100021.png,crater,minor,100021,train
crater/crater_100022.png,crater,minor,100022,train
crater/crater_100023.png,crater,moderate,100023,train
crater/crater_100024.png,crater,moderate,100024,train
crater/crater_100025.png,crater,severe,100025,train
crater/crater_100026.png,crater,severe,100026,train
crater/crater_100027.png,crater,severe,100027,val
crater/crater_100028.png,crater,moderate,100028,train
crater/crater_100029.png,crater,minor,100029,val
crater/crater_100030.png,crater,severe,100030,val
crater/crater_100031.png,crater,minor,100031,train
crater/crater_100032.png,crater,severe,100032,train
crater/crater_100033.png,crater,severe,100033,train
crater/crater_100034.png,crater,moderate,100034,val
crater/crater_100035.png,crater,moderate,100035,train
crater/crater_100036.png,crater,moderate,100036,train
crater/crater_100037.png,crater,minor,100037,train
crater/crater_100038.png,crater,severe,100038,train
crater/crater_100039.png,crater,moderate,100039,train
crater/crater_100040.png,crater,moderate,100040,test
crater/crater_100041.png,crater,moderate,100041,val
crater/crater_100042.png,crater,severe,100042,train
crater/crater_100043.png,crater,minor,100043,train
crater/crater_100044.png,crater,moderate,100044,train
crater/crater_100045.png,crater,severe,100045,train
crater/crater_100046.png,crater,moderate,100046,train
crater/crater_100047.png,crater,severe,100047,train
crater/crater_100048.png,crater,severe,100048,val
crater/crater_100049.png,crater,moderate,100049,val
crater/crater_100050.png,crater,moderate,100050,train
crater/crater_100051.png,crater,severe,100051,train
crater/crater_100052.png,crater,severe,100052,train
crater/crater_100053.png,crater,minor,100053,train
crater/crater_100054.png,crater,severe,100054,val
crater/crater_100055.png,crater,severe,100055,train
crater/crater_100056.png,crater,severe,100056,val
crater/crater_100057.png,crater,moderate,100057,train
crater/crater_100058.png,crater,minor,100058,train
crater/crater_100059.png,crater,minor,100059,train
crater/crater_100060.png,crater,severe,100060,test
crater/crater_100061.png,crater,minor,100061,train
crater/crater_100062.png,crater,moderate,100062,train
crater/crater_100063.png,crater,minor,100063,test
crater/crater_100064.png,crater,minor,100064,test
crater/crater_100065.png,crater,moderate,100065,train
crater/crater_100066.png,crater,moderate,100066,train
crater/crater_100067.png,crater,minor,100067,train
crater/crater_100068.png,crater,minor,100068,train
crater/crater_100069.png,crater,moderate,100069,val
crater/crater_100070.png,crater,severe,100070,train
crater/crater_100071.png,crater,minor,100071,train
crater/crater_100072.png,crater,minor,100072,train
